"2 times","2 times"
"3 times","3 times"
"3-D Secure","3-D Secure"
"4 times","4 times"
"<strong>Filter by Shipping Address (Recommended):</strong> The customer only sees the payment methods available for their shipping country. The transaction metadata is based on this same address.<br><br><strong>Validate by Billing Address:</strong> The customer sees all payment methods. The payment is blocked with an error if their final billing country is not compatible. The submitted metadata is always accurate.","<strong>Filter by Shipping Address (Recommended):</strong> The customer only sees the payment methods available for their shipping country. The transaction metadata is based on this same address.<br><br><strong>Validate by Billing Address:</strong> The customer sees all payment methods. The payment is blocked with an error if their final billing country is not compatible. The submitted metadata is always accurate."
"APM Display and Data Logic","APM Display and Data Logic"
"Abort","Abort"
"Aborted","Aborted"
"All fields must be defined when trying to connect at website level.","All fields must be defined when trying to connect at website level."
"Allow customers to spread out payments over 2, 3 or 4 installments.","Allow customers to spread out payments over 2, 3 or 4 installments."
"Amex is unavailable in TEST mode. Please switch your Payplug plugin to LIVE mode to activate it.","Amex is unavailable in TEST mode. Please switch your Payplug plugin to LIVE mode to activate it."
"Amount remaining in payplug is inferior to amount to refund","Amount remaining in payplug is inferior to amount to refund"
"Amount","Cantidad"
"An error occurred while aborting the installment plan: %s.","An error occurred while aborting the installment plan: %s."
"An error occurred while getting Amex details. Please try again.","An error occurred. Please try again."
"An error occurred while getting Apple Pay details. Please try again.","An error occurred. Please try again."
"An error occurred while getting Bancontact details. Please try again.","An error occurred. Please try again."
"An error occurred while getting Oney details. Please try again.","An error occurred while getting Oney details. Please try again."
"An error occurred while processing the order.","Sucedió un error al procesar su pedido."
"An error occurred while processing your payment. Please try again.","An error occurred while processing your payment. Please try again."
"An error occurred while updating the payment: %s.","An error occurred while updating the payment: %s."
"Apple Pay is unavailable in TEST mode. Please switch your Payplug plugin to LIVE mode to activate it.","Apple Pay is unavailable in TEST mode. Please switch your Payplug plugin to LIVE mode to activate it."
"Are you sure you want to abort the installment plan?","Are you sure you want to abort the installment plan?"
"At least one item is not available anymore. Please try again.","At least one item is not available anymore. Please try again."
"Authorization and Capture","Autorización y Captura"
"Authorization only","Sólo autorización"
"Authorized","Authorized"
"Bancontact is unavailable in TEST mode. Please switch your Payplug plugin to LIVE mode to activate it.","Bancontact is unavailable in TEST mode. Please switch your Payplug plugin to LIVE mode to activate it."
"Billing address is not eligible with this payment method. Allowed countries : %1","Billing address is not eligible with this payment method. Allowed countries : %1"
"Billing address is not eligible with this payment method. Allowed country : %1","Billing address is not eligible with this payment method. Allowed country : %1"
"Brand","Marca"
"By activating this option, only validated payments will create invoices.","By activating this option, only validated payments will create invoices."
"CB","CB"
"Canceled order status","Estado de pedido cancelado"
"Capture online","Capturar en línea"
"Card #","Tarjeta"
"Card mask","Los últimas cuatro cifras de la tarjeta"
"Close","Close"
"Complete","Complete"
"Contribution:","Contribution:"
"Could not find valid payplug order payment. Please try refunding offline.","Could not find valid payplug order payment. Please try refunding offline."
"Credit Card Payment Mode","Modo de pago con tarjeta de crédito"
"Credit card","Tarjeta de crédito"
"Custom Payplug Payments status",Custom Payplug Payments status
"Date","Date"
"Default Country","País predeterminado"
"Delete this card","Borrar"
"Delete","Borrar"
"Details","Details"
"Disconnect","Disconnect"
"Email","Correo electrónico"
"Enable this option for amounts between","Enable this option for amounts between"
"Enable this option from","Enable this option from"
"Enabled","Activado"
"Error while executing cURL request. Please check payplug logs.",Error while executing cURL request. Please check Payplug logs.
"Error while refunding online. Please try again or contact us.","Error while refunding online. Please try again or contact us."
"Expiration Date","Fecha de caducidad"
"Expiration Date","Fecha de caducidad"
"Filter by Shipping Address (Recommended)","Filter by Shipping Address (Recommended)"
"Financing cost:","Financing cost:"
"Financing offer with mandatory deposit reserved for private individual between %1 and %2. Providing Oney acceptation. You have 14 days to renounce this offer after the subscription. Oney Bank - SA capital of 51 286 585€ - 34 Avenue de Flandre 59170 Croix - 546 380 197 RCS Lille Métropole - n° Orias 07 023 261 www.orias.fr Correspondance : CS 60 006 - 59895 Lille Cedex - www.oney.fr","Financing offer with mandatory deposit reserved for private individual between %1 and %2. Providing Oney acceptation. You have 14 days to renounce this offer after the subscription. Oney Bank - SA capital of 51 286 585€ - 34 Avenue de Flandre 59170 Croix - 546 380 197 RCS Lille Métropole - n° Orias 07 023 261 www.orias.fr Correspondance : CS 60 006 - 59895 Lille Cedex - www.oney.fr"
"For an amount of:","For an amount of:"
"In 30 days","In 30 days"
"In 60 days","In 60 days"
"In 90 days","In 90 days"
"Installment 1:","Installment 1:"
"Installment 2:","Installment 2:"
"Installment 3:","Installment 3:"
"Installment plan id","Installment plan id"
"Installment plan was successfully aborted.","Installment plan was successfully aborted."
"Invalid CVV.","Invalid CVV."
"Invalid Name and/or Last Name.","Invalid Name and/or Last Name."
"Invalid card number.","Invalid card number."
"Invalid expiration date.","Invalid expiration date."
"Invoice on payment validation","Invoice on payment validation"
"Mandatory field.","Mandatory field."
"Mode","Modo"
"More info","More info"
"My Saved Cards","Tarjetas guardadas"
"MyBank is unavailable in TEST mode. Please switch your Payplug plugin to LIVE mode to activate it.","MyBank is unavailable in TEST mode. Please switch your Payplug plugin to LIVE mode to activate it."
"New","New"
"No","NO"
"Not Paid","NO PAGADO"
"Number of installments","Number of installments"
"Object with id ""%1"" does not exist.","Object with id ""%1"" does not exist."
"One-click payment","One-click payment"
"Oney option","Oney option"
"Oney terms and conditions","Oney terms and conditions"
"Ongoing","Ongoing"
"Only Premium accounts can use installment plan in LIVE mode.","Only Premium accounts can use installment plan in LIVE mode."
"Only Premium accounts can use one click in LIVE mode.","Esta opción está sólo disponible para cuentas Premium."
"Or pay in","Or pay in"
"Order is currently being processed.","Order is currently being processed."
"Order payment was successfully updated.","Order payment was successfully updated."
"Other","Other"
"Paid at","Pagado a"
"Paid","PAGADO"
"Partially Refunded","Partially Refunded"
"Password field was empty.","Password field was empty."
"Password","Contraseña"
"Pay %1by card%2","Pay %1by card%2"
"Pay with another card","Pagar con una tarjeta distinta"
"PayPlug LIVE mode","Live"
"PayPlug Payments - American Express","Payplug Payments - American Express"
"PayPlug Payments - Apple Pay","Payplug Payments - Apple Pay"
"PayPlug Payments - Bancontact","Payplug Payments - Bancontact"
"PayPlug Payments - General configuration","Payplug Payments - General configuration"
"PayPlug Payments - MyBank","PayPlug Payments - MyBank"
"PayPlug Payments - Oney","Payplug Payments - Oney"
"PayPlug Payments - Payments by installments","Payplug Payments - Payments by installments"
"PayPlug Payments - Satispay","PayPlug Payments - Satispay"
"PayPlug Payments - Standard","Payplug Payments - Standard"
"PayPlug Payments - iDEAL","PayPlug Payments - iDEAL"
"PayPlug Payments","Payplug Payments"
"PayPlug TEST mode","Test"
"PayPlug embedded payment","Integrado"
"PayPlug pop-up payment","Pop-up"
"PayPlug redirected payment","Redirigido"
"Payment Page","Página de pago"
"Payment from Applicable Countries","Pago desde Países Permitidos"
"Payment from Specific Countries","Pago desde Países Específicos"
"Payment in %1","Payment in %1"
"Payplug Card CVV placeholder","123"
"Payplug Card Expiration placeholder","MM/YY"
"Payplug Card Holder placeholder","Cardholder name"
"Payplug Card Number placeholder","Card number"
"Payplug Payment ID",Payplug Payment ID
"Payplug Payment Method","Payment Method"
"Payplug Payments Installment plan status",Payplug Payments Installment plan status
"Payplug Payments Section",Payplug Payments Section
"Pending Review","Pending Review"
"Place Order","Place Order"
"Please confirm that Oney's legal notice have been added to your general terms and conditions.","Please confirm that Oney's legal notice have been added to your general terms and conditions."
"Please confirm that you have added Oney specificities to your terms and conditions. <a href=""https://support.payplug.com/hc/en-gb/articles/360009549540"" target=""_blank"">More info</a>","Please confirm that you have added Oney specificities to your terms and conditions. <a href=""https://support.payplug.com/hc/en-gb/articles/360009549540"" target=""_blank"">More info</a>"
"Please fill in a mobile phone on your billing address.","Please fill in a mobile phone on your billing address."
"Please select a payment option for Oney.","Please select a payment option for Oney."
"Please select a valid payment option for Oney.","Please select a valid payment option for Oney."
"Please specify a payment method.","Please specify a payment method."
"Privacy Policy","Privacy Policy"
"Processing order status","Procesando estado de pedido"
"Receive","Receive"
"Refunded","Refunded"
"SEPA Credit Transfer","SEPA Credit Transfer"
"Satispay is unavailable in TEST mode. Please switch your Payplug plugin to LIVE mode to activate it.","Satispay is unavailable in TEST mode. Please switch your Payplug plugin to LIVE mode to activate it."
"Save my credit card","Save my credit card"
"Shipping and billing addresses must be both located in %1 to pay with Oney.","Shipping and billing addresses must be both located in %1 to pay with Oney."
"Shipping and billing adresses must be both in the same country.","Shipping and billing adresses must be both in the same country."
"Some refunds were made directly in Payplug. Maximum refund amount is %s.","Some refunds were made directly in Payplug. Maximum refund amount is %s."
"Sort Order","Sort Order"
"Status","Estado"
"Status","Status"
"Suspended","Suspended"
"TAEG:","TAEG:"
"Technical error while processing the payment.","Technical error while processing the payment."
"The Apple Pay payment is not available for the TEST mode.","The Apple Pay payment is not available for the TEST mode."
"The Bancontact payment feature is not available for the TEST mode.","The Bancontact payment feature is not available for the TEST mode."
