"2 times","2 volte"
"3 times","3 volte"
"3-D Secure","3-D Secure"
"4 times","4 volte"
"A new payment link cannot be sent for this order.","Non è possibile inviare un nuovo link di pagamento per questo ordine."
"Abort","Interrompere"
"Aborted payment","Pagamento annullato"
"Aborted","Interrotto"
"All fields must be defined when trying to connect at website level.","Tutti i campi devono essere completati"
"Allow customers to spread out payments over 2, 3 or 4 installments.","Permetti ai tuoi clienti di dilazionare i pagamenti relativi ai loro ordini in 2, 3 o 4 rate."
"Allowed languages are: %1","Lingue accettate :%1"
"Amex is unavailable in TEST mode. Please switch your Payplug plugin to LIVE mode to activate it.","Amex non è disponibile in modalità TEST. Per attivarlo, è necessario mettere il modulo Payplug in modalità LIVE."
"Amount remaining in payplug is inferior to amount to refund","La somma rimanente su Payplug è inferiore alla somma da rimborsare"
"Amount","Importo"
"An error occurred while aborting the installment plan: %s.","L'errore è avvenuto al momento dell'annullamento del pagamento frazionato: %s"
"An error occurred while getting Amex details. Please try again.","Si è verificato un errore. Per favore, riprova."
"An error occurred while getting Apple Pay details. Please try again.","Si è verificato un errore. Per favore, riprova."
"An error occurred while getting Bancontact details. Please try again.","Si è verificato un errore. Per favore, riprova."
"An error occurred while getting Oney details. Please try again.","Si è verificato un errore. Per favore, riprova."
"An error occurred while processing the order.","Un errore é avvenuto durante il trattamento dell'ordine."
"An error occurred while processing your payment. Please try again.","Errore al momento del trattamento del pagamento"
"An error occurred while sending new payment link: %s.","Errore durante l'invio del link di pagamento :%s"
"An error occurred while updating the payment: %s.","Errore al momento dell'aggiornamento del pagamento : %s"
"An error occurred. Please try again.","Si è verificato un errore. Per favore, riprova."
"Apple Pay is unavailable in TEST mode. Please switch your Payplug plugin to LIVE mode to activate it.","Apple Pay non è disponibile in modalità TEST. Per attivarlo, è necessario mettere il modulo Payplug in modalità LIVE."
"Are you sure you want to abort the installment plan?","Vuoi interrompere il pagamento rateale su questo ordine ?"
"At least one item is not available anymore. Please try again.","Almeno un articolo non è più disponibile. Si prega di riprovare"
